卡片名稱,使用驗證碼,卡片函數,使用,卡片價值
-,2TTXAC80,-,N,500
-,2UTKW41Y,-,N,500
-,2WJSWPOR,-,N,500
-,2XDVZ5XV,-,N,500
-,2YFB5D1O,-,N,500
-,30DU2JTC,-,N,500
-,31IQ5F2S,-,N,500
-,32T52X53,-,N,500
-,34T8Q91A,-,N,500
-,35MQCJ0X,-,N,500
-,36NFG0F7,-,N,500
-,37C1P1RB,-,N,500
-,39LXKWD9,-,N,500
-,3A1E9R4W,-,N,500
-,3CAD0YFD,-,N,500
-,3DU3KZY8,-,N,500
-,3EBHGCJ3,-,N,500
-,3F8SW6S1,-,N,500
-,3HVJKZ5N,-,N,500
-,3IMN8TRU,-,N,500
-,3JQMEY5U,-,N,500
-,3LMA2FB4,-,N,500
-,3MAOIQUI,-,N,500
-,3NSEZE92,-,N,500
-,3O4MXM2S,-,N,500
-,3PLISSJD,-,N,500
-,3REUEMEV,-,N,500
-,3S1IQL3B,-,N,500
-,3URCHGVD,-,N,500
-,3VNJVXSH,-,N,500
-,3WJ9C3QH,-,N,500
-,3YISI2YM,-,N,500
-,3ZZU8F89,-,N,500
-,4044W97N,-,N,500
-,41T630EW,-,N,500
-,43X8UWNP,-,N,500
-,447VZG1X,-,N,500
-,45UEEFDV,-,N,500
-,462GXATG,-,N,500
-,483NN17O,-,N,500
-,496WHS97,-,N,500
-,4AAQ90ZR,-,N,500
-,4CJU7XCJ,-,N,500
-,4DHR99DJ,-,N,500
-,4EUCUGJ8,-,N,500
-,4FQTCIY5,-,N,500
-,4HHXUZQ7,-,N,500
-,4I8DN56D,-,N,500
-,4JWRE4MP,-,N,500
-,4L00ILSD,-,N,500
-,4M94A91V,-,N,500
-,4N9U4MXE,-,N,500
-,4P6TG1A5,-,N,500
-,4Q4YQJYL,-,N,500
-,4RI1HPDH,-,N,500
-,4SQYZDDN,-,N,500
-,4USYRHHS,-,N,500
-,4VBHH1UC,-,N,500
-,4XLWCJDP,-,N,500
-,4YQNNW3I,-,N,500
-,4ZVRX7M7,-,N,500
-,50INH6RG,-,N,500
-,52EGBCHJ,-,N,500
-,534HWF7T,-,N,500
-,54F8098T,-,N,500
-,55O6LK66,-,N,500
-,57C0AGU4,-,N,500
-,58R1JF94,-,N,500
-,5ACJQ1S1,-,N,500
-,5BQZYYBG,-,N,500
-,5CJMLQ5P,-,N,500
-,5DYMZ6G0,-,N,500
-,5FVWJLW3,-,N,500
-,5GL2FW0N,-,N,500
-,5HATICY0,-,N,500
-,5I2BJKZ1,-,N,500
-,5K5T65KX,-,N,500
-,5LEOCQL9,-,N,500
-,5MV7R18R,-,N,500
-,5NI4IASM,-,N,500
-,5P4GDXTA,-,N,500
-,5Q3L8VD6,-,N,500
-,5SGOEMVH,-,N,500
-,5TUJV2G9,-,N,500
-,5ULAW5MA,-,N,500
-,5WBQ970Y,-,N,500
-,5XDNXEZJ,-,N,500
-,5Y780HBZ,-,N,500
-,5ZM1ODXY,-,N,500
-,6184DWIG,-,N,500
-,62NKPESF,-,N,500
-,6324TN07,-,N,500
-,656XD437,-,N,500
-,663T7D3N,-,N,500
-,67OPGAFD,-,N,500
-,692EVC0N,-,N,500
-,6ATX3FF1,-,N,500
-,6BKGTHJS,-,N,500
-,6C5B8XH1,-,N,500
-,6D6B4HMI,-,N,500
-,6F2NC73V,-,N,500
-,6GMS12ST,-,N,500
-,6IFUE2ZM,-,N,500
-,6J8LNK62,-,N,500
-,6KK1DA6D,-,N,500
-,6LNGRNPS,-,N,500
-,6MXF53S6,-,N,500
-,6OHOMPFB,-,N,500
-,6PQQH256,-,N,500
-,6QK7LF4X,-,N,500
-,6SWSYHU4,-,N,500
-,6TKTPK4Z,-,N,500
-,6VNEWDB7,-,N,500
-,6WK9YJ4O,-,N,500
-,6XCALX52,-,N,500
-,6YPMLW5U,-,N,500
-,707DPDS1,-,N,500
-,71SV0HMY,-,N,500
-,72D447KT,-,N,500
-,730QPYG0,-,N,500
-,75DP3ZLN,-,N,500
-,76G5BW5X,-,N,500
-,77LW914O,-,N,500
-,78EVCKOW,-,N,500
-,7AU5TAZ6,-,N,500
-,7B09CIUR,-,N,500
-,7CTK0AI2,-,N,500
-,7E61Z2P1,-,N,500
-,7FXSXK18,-,N,500
-,7HVPGHVQ,-,N,500
-,7I58MAR7,-,N,500
-,7JJZQRLE,-,N,500
-,7KNJU1LA,-,N,500
-,7L411PTN,-,N,500
-,7N6OINCA,-,N,500
-,7OSZ8FST,-,N,500
-,7Q05HFBC,-,N,500
-,7RIK1PNE,-,N,500
-,7SESR29N,-,N,500
-,7T2TMCJS,-,N,500
-,7VTESB0T,-,N,500
-,7WVMHJNW,-,N,500
-,7X1BOMLE,-,N,500
-,7Y8ZV9IF,-,N,500
-,809EG2CR,-,N,500
-,81IRG0O3,-,N,500
-,82Y1N0C8,-,N,500
-,8464CSTM,-,N,500
-,859FVUKB,-,N,500
-,867KC9VB,-,N,500
-,88009F5E,-,N,500
-,891WL03Q,-,N,500
-,8AQRITQ8,-,N,500
-,8B0B5FB0,-,N,500
-,8DC1NBU0,-,N,500
-,8E1WCDY1,-,N,500
-,8G4U7V0Y,-,N,500
-,8HU6AK5I,-,N,500
-,8IBM7NOO,-,N,500
-,8JCTUSMZ,-,N,500
-,8LGO08AR,-,N,500
-,8MQNB1R6,-,N,500
-,8NDU7C68,-,N,500
-,8P71GYZ8,-,N,500
-,8Q8L6N13,-,N,500
-,8RTZAWJO,-,N,500
-,8T9R7T5S,-,N,500
-,8UGBCYK8,-,N,500
-,8VY4CMIC,-,N,500
-,8WB65LGQ,-,N,500
-,8YOZ53UZ,-,N,500
-,8Z4QM85Y,-,N,500
-,90L51YVP,-,N,500
-,91V4A08W,-,N,500
-,93QB4TFO,-,N,500
-,94C0LKBV,-,N,500
-,95MCGL4C,-,N,500
-,961SMSLM,-,N,500
-,98807QVK,-,N,500
-,99LZAHD4,-,N,500
-,9BYTDMNW,-,N,500
-,9C21LKUP,-,N,500
-,9DOXJEPC,-,N,500
-,9E28BUM3,-,N,500
-,9GE3EJJ0,-,N,500
-,9H2AQZNW,-,N,500
-,9IV2O1F0,-,N,500
-,9JC6VSN4,-,N,500
-,9L8AJVWF,-,N,500
-,9M6TCI2N,-,N,500
-,9OMH8RWC,-,N,500
-,9PD91Q4G,-,N,500
-,9Q4DT0DZ,-,N,500
-,9R7Y8NUC,-,N,500
-,9TP8PX7Q,-,N,500
-,9UIGCTNH,-,N,500
-,9V34A466,-,N,500
-,9XAS4K1N,-,N,500
-,9Y6ONXE8,-,N,500
-,9Z3ZKEWA,-,N,500
-,A12SDHZR,-,N,500
-,A25ZXQPZ,-,N,500
-,A3P3YZ0T,-,N,500
-,A41CP35A,-,N,500
-,A5CD74HP,-,N,500
-,A77XFV0L,-,N,500
-,A8IFIEB0,-,N,500
-,AARGFPVB,-,N,500
-,ABI1EKUA,-,N,500
-,AC729BHI,-,N,500
-,AE5C1X8M,-,N,500
-,AFC6GOMR,-,N,500
-,AGIU4SQN,-,N,500
-,AH1I3CNW,-,N,500
-,AIXH7H5S,-,N,500
-,AKZ5FPC2,-,N,500
-,AL4J7O8D,-,N,500
-,ANOUW2PT,-,N,500
-,AO62Z2BB,-,N,500
-,APPM1INL,-,N,500
-,AQEURGCE,-,N,500
-,ASNDV9PV,-,N,500
-,AT7RAX65,-,N,500
-,AU3S64KD,-,N,500
-,AWMSRJK7,-,N,500
-,AXDD3QPH,-,N,500
-,AY7HTXAA,-,N,500
-,B0R6K1FM,-,N,500
-,B1FH6JOC,-,N,500
-,B25PWPF8,-,N,500
-,B3C03C2P,-,N,500
-,B5IJIZ4X,-,N,500
-,B63Y3LYW,-,N,500
-,B73P6LZD,-,N,500
-,B8I9YM8Q,-,N,500
-,BA4N0ND9,-,N,500
-,BB8D8WIM,-,N,500
-,BCFA621R,-,N,500
-,BES83Q8J,-,N,500
-,BFAP0WIQ,-,N,500
-,BGKDRJSX,-,N,500
-,BI6B92XY,-,N,500
-,BJO2UFW2,-,N,500
-,BKQOY4F0,-,N,500
-,BL6V4HKG,-,N,500
-,BNO67LDL,-,N,500
-,BO58H1IT,-,N,500
-,BPN6KSMM,-,N,500
-,BQMXFW2N,-,N,500
-,BSYOI44Y,-,N,500
-,BT75C90H,-,N,500
-,BUE9YARW,-,N,500
-,BWTVUP4P,-,N,500
-,BXS37U5V,-,N,500
-,BYK0NIH7,-,N,500
-,C0EWU69S,-,N,500
-,C1PQDD1T,-,N,500
-,C2CMPSWT,-,N,500
-,C4RQ96WH,-,N,500
-,C5D75D63,-,N,500
-,C6F1S0AG,-,N,500
-,C8ZYX9R7,-,N,500
-,C99CQC3B,-,N,500
-,CALDQVK5,-,N,500
-,CCQIXJO4,-,N,500
-,CD82TOW4,-,N,500
-,CE0JUU0A,-,N,500
-,CFRMKKMB,-,N,500
-,CHHH4DOB,-,N,500
-,CI6FXJG2,-,N,500
-,CJ2C155C,-,N,500
-,CLT9WDL3,-,N,500
-,CML5Z44L,-,N,500
-,CNY9GJJ7,-,N,500
-,COSCC3CF,-,N,500
-,CP3GWILC,-,N,500
-,CR49CRV3,-,N,500
-,CSLB883I,-,N,500
-,CUVTKDPJ,-,N,500
-,CVUQBBTR,-,N,500
-,CWL4IQ75,-,N,500
-,CXZHDMGL,-,N,500
-,CZWEGGY4,-,N,500
-,D0S1PTVK,-,N,500
-,D1QOSOW8,-,N,500
-,D296P7JF,-,N,500
-,D44UIUQJ,-,N,500
-,D541N3KL,-,N,500
-,D7223405,-,N,500
-,D88FW92J,-,N,500
-,D9E1RHIX,-,N,500
-,DBMH7IRF,-,N,500
-,DCD34MPC,-,N,500
-,DDDRK758,-,N,500
-,DEEATCH5,-,N,500
-,DF50VCKX,-,N,500
-,DHQADXBR,-,N,500
-,DINRMG2F,-,N,500
-,DJ60CGR5,-,N,500
-,DL97IMRY,-,N,500
-,DMB3UMQM,-,N,500
-,DNZI09AA,-,N,500
-,DPTBL00J,-,N,500
-,DQ5MQBGD,-,N,500
-,DR98KX2N,-,N,500
-,DSPMN5WG,-,N,500
-,DUG7AS0B,-,N,500
-,DVTHCL09,-,N,500
-,DWLBRQDG,-,N,500
-,DYD2K8XD,-,N,500
-,DZJSOUQ0,-,N,500
-,E0GB8I8E,-,N,500
-,E1SXYTW9,-,N,500
-,E3V0C0AW,-,N,500
-,E4AW0HMT,-,N,500
-,E68XDTS0,-,N,500
-,E7BOIHFT,-,N,500
-,E8LTPBW8,-,N,500
-,EAEU2AXB,-,N,500
-,EB2P54TS,-,N,500
-,ECGMEEQI,-,N,500
-,ED4IKNRU,-,N,500
-,EE2H0QL7,-,N,500
-,EGVZU7Z1,-,N,500
-,EHFZ4HOV,-,N,500
-,EJXB6JO3,-,N,500
-,EK8GJN5A,-,N,500
-,EL1WHLH6,-,N,500
-,EMS4WC46,-,N,500
-,EOHKGC0J,-,N,500
-,EP0T6CZU,-,N,500
-,EQZDXINL,-,N,500
-,ESZJCREE,-,N,500
-,ETISR8P3,-,N,500
-,EUGRZMS6,-,N,500
-,EW672ZFI,-,N,500
-,EXAGYJUF,-,N,500
-,EYH3QFLW,-,N,500
-,EZMRBADD,-,N,500
-,F07PF2H6,-,N,500
-,F2SEBHRC,-,N,500
-,F3MPJMXV,-,N,500
-,F4MR1TKC,-,N,500
-,F6CDYL8J,-,N,500
-,F7W86PDB,-,N,500
-,F9OZ9S94,-,N,500
-,FAARS6I6,-,N,500
-,FB2W21CR,-,N,500
-,FCU418E9,-,N,500
-,FEFAJ5DZ,-,N,500
-,FFTNL62L,-,N,500
-,FG3CYHDC,-,N,500
-,FIK8RQEA,-,N,500
-,FJ3KJEL0,-,N,500
-,FKQ7SQMW,-,N,500
-,FLHO54OE,-,N,500
-,FMU3QNXV,-,N,500
-,FO9U37GF,-,N,500
-,FP7E4M4T,-,N,500
-,FQ4J7TOX,-,N,500
-,FSMUZDBP,-,N,500
-,FTT47VDO,-,N,500
-,FVF02C4Z,-,N,500
-,FWA4XY4R,-,N,500
-,FXO4LWDI,-,N,500
-,FYAHJFR8,-,N,500
-,FZIAEDHD,-,N,500
-,G1PIIKWH,-,N,500
-,G2ENNJP9,-,N,500
-,G3FEJS8T,-,N,500
-,G5958IX4,-,N,500
-,G6M48MWL,-,N,500
-,G7YV04RN,-,N,500
-,G8XGIB9R,-,N,500
-,GALBWL6M,-,N,500
-,GBBE2S64,-,N,500
-,GCNUP1UM,-,N,500
-,GEI3ZEYG,-,N,500
-,GFW2GF1R,-,N,500
-,GGNWV5F7,-,N,500
-,GIIF90JG,-,N,500
-,GJBRKO0E,-,N,500
-,GKVS8V2H,-,N,500
-,GM2FODK9,-,N,500
-,GN4QNS9S,-,N,500
-,GO8BM068,-,N,500
-,GPD9RD2M,-,N,500
-,GRSJ71QZ,-,N,500
-,GSTRZ946,-,N,500
-,GUXLO6L1,-,N,500
-,GVSQSKCV,-,N,500
-,GW7BLAG4,-,N,500
-,GXYB1M4O,-,N,500
-,GZP7NGR0,-,N,500
-,H0GPPAO6,-,N,500
-,H1GDKO0W,-,N,500
-,H3L8K3DQ,-,N,500
-,H4YSNRJE,-,N,500
-,H5FH3K18,-,N,500
-,H6KZOA69,-,N,500
-,H8BP2JUJ,-,N,500
-,H9KAWQDE,-,N,500
-,HADEP947,-,N,500
-,HBFOT12Z,-,N,500
-,HDA2SP36,-,N,500
-,HEUIRAYQ,-,N,500
-,HGX3GKIY,-,N,500
-,HH8U4BE5,-,N,500
-,HIRNYDIL,-,N,500
-,HJH2DCX4,-,N,500
-,HK3WR1Q7,-,N,500
-,HMAXVWUV,-,N,500
-,HNIX8WK7,-,N,500
-,HOVH4UY8,-,N,500
-,HQ0W9OW2,-,N,500
-,HRTFW0QF,-,N,500
-,HTU0I4HE,-,N,500
-,HUOIPW2P,-,N,500
-,HVXQOGEY,-,N,500
-,HW5I4MZA,-,N,500
-,HXKBTD0N,-,N,500
-,HZJQ8E5K,-,N,500
-,I0G2RVRJ,-,N,500
-,I15S866P,-,N,500
-,I3IELOQF,-,N,500
-,I4AINMQT,-,N,500
-,I51ZT040,-,N,500
-,I6W5YE6H,-,N,500
-,I8069G4Z,-,N,500
-,I92YH95B,-,N,500
-,IBOWAKFT,-,N,500
-,ICN44ELU,-,N,500
-,IDRFQ4GK,-,N,500
-,IF1GNPNU,-,N,500
-,IGWNHEF7,-,N,500
-,IHWCCZUT,-,N,500
-,II1BNDHT,-,N,500
-,IK12PI5J,-,N,500
-,IL2MW1JG,-,N,500
-,IMX7RD8K,-,N,500
-,INYGFBMI,-,N,500
-,IPOM82SD,-,N,500
-,IQTEEU03,-,N,500
-,ISDX60G8,-,N,500
-,IT3XV08E,-,N,500
-,IUPNKM97,-,N,500
-,IVPKWYLG,-,N,500
-,IW7T8M9V,-,N,500
-,IYFWTCBF,-,N,500
-,IZGTLLVP,-,N,500
-,J1ER8T2I,-,N,500
-,J2VMZL8R,-,N,500
-,J3C364C4,-,N,500
-,J4OJ4V7S,-,N,500
-,J6PY9VEV,-,N,500
-,J7TDRQ7O,-,N,500
-,J80W35DC,-,N,500
-,JAMR3SWA,-,N,500
-,JB5X5EV3,-,N,500
-,JCYE7TGY,-,N,500
-,JE3CL2C2,-,N,500
-,JF97DUOQ,-,N,500
-,JGP75QM8,-,N,500
-,JHSEG2I6,-,N,500
-,JIGO2VTO,-,N,500
-,JKXMN7NE,-,N,500
-,JLTZ9QBP,-,N,500
-,JNG3T71J,-,N,500
-,JOEZI7OD,-,N,500
-,JP1ENZWU,-,N,500
-,JRIIHE86,-,N,500
-,JS9WK70C,-,N,500
-,JTX3KGDQ,-,N,500
-,JU7IF16E,-,N,500
-,JW1L3QDZ,-,N,500
-,JX7WV74P,-,N,500
-,JYHT5E7U,-,N,500
-,K0EI702Z,-,N,500
-,K1GDB21P,-,N,500
-,K2128FFK,-,N,500
-,K3N721Y8,-,N,500
-,K4P06I7D,-,N,500
-,K6RF5CJV,-,N,500
-,K7CSVQDU,-,N,500
-,K8CH1JSG,-,N,500
-,KAY6PKXE,-,N,500
-,KBY0HW6Z,-,N,500
-,KC0KR5U0,-,N,500
-,KE6O1M9Q,-,N,500
-,KFTORFVO,-,N,500
-,KGQNF8GZ,-,N,500
-,KHX2DOOT,-,N,500
-,KJ20K1RT,-,N,500
-,KK3QMI8B,-,N,500
-,KL1XYDLM,-,N,500
-,KNS89JA7,-,N,500
-,KO39KE39,-,N,500
-,KPCHROZ9,-,N,500
-,KR3HR59A,-,N,500
-,KSFWEEKM,-,N,500
-,KTKEEABO,-,N,500
-,KUHOXNBF,-,N,500
-,KWQEEXK7,-,N,500
-,KX2F414G,-,N,500
-,KZGGVEZM,-,N,500
-,L04ETQME,-,N,500
-,L1QMLI9I,-,N,500
-,L25R25NT,-,N,500
-,L4WW278E,-,N,500
-,L5J9FZEC,-,N,500
-,L6PXSC9Y,-,N,500
-,L86MIMMG,-,N,500
-,L96TPTO5,-,N,500
-,LAJS95NZ,-,N,500
-,LBYT6VBL,-,N,500
-,LDVZXP81,-,N,500
-,LERRES3H,-,N,500
-,LFYWAFC4,-,N,500
-,LHQUOA2Z,-,N,500
-,LIMTSNHO,-,N,500
-,LJPKUOMY,-,N,500
-,LKZZJ174,-,N,500
-,LMS9BFAA,-,N,500
-,LN65LPQJ,-,N,500
-,LO6L4G24,-,N,500
-,LP7RM8WU,-,N,500
-,LR2PVVA0,-,N,500
-,LSJ5528X,-,N,500
-,LTF3PBIL,-,N,500
-,LVCTSL6O,-,N,500
-,LWO9QHQL,-,N,500
-,LY4Q6B7K,-,N,500
-,LZTW8P7L,-,N,500
-,M0Y5XGHZ,-,N,500
-,M15TW0JO,-,N,500
-,M36A11VW,-,N,500
-,M46DTPNI,-,N,500
-,M5J17MQM,-,N,500
-,M7VKK169,-,N,500
-,M8KJUNW0,-,N,500
-,M9IJJI0V,-,N,500
-,MAQ4JGEY,-,N,500
-,MCXTH479,-,N,500
-,MDHZNH6I,-,N,500
-,MEQJ78NJ,-,N,500
-,MF0UOZSQ,-,N,500
-,MHY0Z8TC,-,N,500
-,MIT678MT,-,N,500
-,MJVB8XZ1,-,N,500
-,MLAX9GJO,-,N,500
-,MMG11F2Y,-,N,500
-,MNGMHGFM,-,N,500
-,MOCFZXPC,-,N,500
-,MQ6E92JX,-,N,500
-,MR9UKRWM,-,N,500
-,MT2LXKEK,-,N,500
-,MUNE9F0S,-,N,500
-,MV4IPZS0,-,N,500
-,MWC36JPI,-,N,500
-,MYUKPSQB,-,N,500
-,MZ6YY5B3,-,N,500
-,N01ALGWU,-,N,500
-,N2LEUK66,-,N,500
-,N3WK8NUS,-,N,500
-,N4BT0K0Z,-,N,500
-,N511YEI7,-,N,500
-,N7AF702O,-,N,500
-,N8GVWGLL,-,N,500
-,NAVNT1NR,-,N,500
-,NBJ5G65A,-,N,500
-,NCGJS6KT,-,N,500
-,NDR69CQQ,-,N,500
-,NEL2KFA6,-,N,500
-,NGKBXF6K,-,N,500
-,NHLMORUQ,-,N,500
-,NIRLA6FP,-,N,500
-,NK290X3Q,-,N,500
-,NL7XBG8V,-,N,500
-,NMQ3C9KO,-,N,500
-,NOIDS1GN,-,N,500
-,NPUHG15Y,-,N,500
-,NQJGXKOS,-,N,500
-,NRL6SL4Z,-,N,500
-,NTEEET1T,-,N,500
-,NUS4ZYO9,-,N,500
-,NVJMR0E9,-,N,500
-,NX5GW4PK,-,N,500
-,NYXEH1KD,-,N,500
-,NZNRY0BN,-,N,500
-,O1I77PYI,-,N,500
-,O29Q1QT8,-,N,500
-,O3L0J03B,-,N,500
-,O40PQKP2,-,N,500
-,O6JN0OPZ,-,N,500
-,O7RZU92M,-,N,500
-,O83CM4AT,-,N,500
-,OABJPYHO,-,N,500
-,OBBJDGIU,-,N,500
-,OCLRH84A,-,N,500
-,OEQQAJOJ,-,N,500
-,OF96EX6O,-,N,500
-,OG9FFUEM,-,N,500
-,OHELXQXS,-,N,500
-,OJ3MHZYH,-,N,500
-,OKCV5ZS3,-,N,500
-,OLM2WVSW,-,N,500
-,ON5YJL5H,-,N,500
-,OOWYYXQ0,-,N,500
-,OPVSNG82,-,N,500
-,OR9Q01JK,-,N,500
-,OS97XS05,-,N,500
-,OTBHSUIZ,-,N,500
-,OUXL38B4,-,N,500
-,OW9QOSS5,-,N,500
-,OXNU6676,-,N,500
-,OY8N5WO8,-,N,500
-,OZRF9CS1,-,N,500
-,P14DWAGD,-,N,500
-,P2E81C6P,-,N,500
-,P32IDT2F,-,N,500
-,P5G15CNL,-,N,500
-,P6W2HDI2,-,N,500
-,P7C6OSK9,-,N,500
-,P8LW8VOX,-,N,500
-,PAP7K4XU,-,N,500
-,PBWMWR7A,-,N,500
-,PC54GDWK,-,N,500
-,PE32IGF2,-,N,500
-,PF1E9ZAI,-,N,500
-,PGFVILIM,-,N,500
-,PIIF00QL,-,N,500
-,PJV9TGFO,-,N,500
-,PK0R0ZFM,-,N,500
-,PLQLX44T,-,N,500
-,PNOVQKOQ,-,N,500
-,POXVJBFQ,-,N,500
-,PPZ87C6I,-,N,500
-,PRILSRBN,-,N,500
-,PS3FAY2K,-,N,500
-,PUQIAZGE,-,N,500
-,PVVYJFAV,-,N,500
-,PW80K8D2,-,N,500
-,PXIEHPLF,-,N,500
-,PZKJBDNA,-,N,500
-,Q0B02M8C,-,N,500
-,Q13YS2ZI,-,N,500
-,Q33OEIAM,-,N,500
-,Q4VVCYNU,-,N,500
-,Q5Z9AQ80,-,N,500
-,Q61EIF9G,-,N,500
-,Q7Z9P9TM,-,N,500
-,Q9WWNLR7,-,N,500
-,QA8LTISF,-,N,500
-,QCXBVYKG,-,N,500
-,QD11C1XO,-,N,500
-,QEOPDNT3,-,N,500
-,QFYAWF5T,-,N,500
-,QH9V35Z1,-,N,500
-,QIQWDS4K,-,N,500
-,QJ6OYD21,-,N,500
-,QKNPNQ7C,-,N,500
-,QMW9PQO8,-,N,500
-,QNK1YQSO,-,N,500
-,QOP02G70,-,N,500
-,QQV93SNY,-,N,500
-,QR3EUGW3,-,N,500
-,QTAEXIBA,-,N,500
-,QUKWK00X,-,N,500
-,QVQJPK88,-,N,500
-,QWT3Z2WK,-,N,500
-,QYWK67L3,-,N,500
-,QZ2QVJVU,-,N,500
-,R0SN6FIJ,-,N,500
-,R28GVG8L,-,N,500
-,R3GSPTT2,-,N,500
-,R4LGFCQ1,-,N,500
-,R582D9KH,-,N,500
-,R6NCODDK,-,N,500
-,R8C8NYCF,-,N,500
-,R93HJ7BM,-,N,500
-,RA6FKN9J,-,N,500
-,RCDEFUEQ,-,N,500
-,RDVLLP3Y,-,N,500
-,RFPJF5G6,-,N,500
-,RG8QWKF0,-,N,500
-,RH55PF7B,-,N,500
-,RISW9VVL,-,N,500
-,RKQYJJVS,-,N,500
-,RLHS71M9,-,N,500
-,RMO6GCME,-,N,500
-,ROIFCB78,-,N,500
-,RPQ51K17,-,N,500
-,RQGUVAXZ,-,N,500
-,RSEXCW2F,-,N,500
-,RT67LPBO,-,N,500
-,RU2DMRCH,-,N,500
-,RVKJ5Z10,-,N,500
-,RXGJZCCO,-,N,500
-,RY7C7FB1,-,N,500
-,RZENNTJJ,-,N,500
-,S0S3NRN5,-,N,500
-,S24TSQMC,-,N,500
-,S301EOP6,-,N,500
-,S4S2ATDA,-,N,500
-,S6CO122E,-,N,500
-,S7DSQ8SD,-,N,500
-,S81GCZ4O,-,N,500
-,SAR88HLP,-,N,500
-,SBX3Z93D,-,N,500
-,SCG3MN11,-,N,500
-,SDX46TCN,-,N,500
-,SFSZDV0J,-,N,500
-,SG2RJQ2Y,-,N,500
-,SH84I1IG,-,N,500
-,SI0EFJF9,-,N,500
-,SKVDT50T,-,N,500
-,SLOTFNA7,-,N,500
-,SN7SBSIF,-,N,500
-,SO4CMLD4,-,N,500
-,SPL1CR6Y,-,N,500
-,SRZKYLLL,-,N,500
-,SSA8TTQM,-,N,500
-,STFS2TM6,-,N,500
-,SU4GUS80,-,N,500
-,SWL4VR6B,-,N,500
-,SXG4Q2RV,-,N,500
-,SYTG3B9O,-,N,500
-,SZSU3K72,-,N,500
-,T1TFN3T4,-,N,500
-,T2UQ870T,-,N,500
-,T3CRA55J,-,N,500
-,T5Q3UGU2,-,N,500
-,T6EAZZ42,-,N,500
-,T72ZKQJP,-,N,500
-,T8WE6QCW,-,N,500
-,TAQ151BP,-,N,500
-,TB8WJY7R,-,N,500
-,TCPQ10ML,-,N,500
-,TE9I310T,-,N,500
-,TFFTUH2S,-,N,500
-,TGLGVPHU,-,N,500
-,TI6H0W2N,-,N,500
-,TJAX7H8E,-,N,500
-,TKSTE43K,-,N,500
-,TLC5OKWL,-,N,500
-,TNP8LG5S,-,N,500
-,TOFPYMC4,-,N,500
-,TPQFWBAL,-,N,500
-,TQR7CT3T,-,N,500
-,TSNH3YLH,-,N,500
-,TTG0MJEB,-,N,500
-,TV2HEJ2M,-,N,500
-,TW7GMO73,-,N,500
-,TX5QZZWW,-,N,500
-,TYF195UX,-,N,500
-,U0MKIRHY,-,N,500
-,U1BWL8N6,-,N,500
-,U2P075WC,-,N,500
-,U4ZGOULQ,-,N,500
